Layer  MeanCosineSimilarity  StdDev
1 0.140723 0.019345
2 0.107320 0.011156
3 0.096517 0.009658
4 0.069990 0.011852
5 0.069122 0.010759
6 0.075285 0.014539
7 0.060864 0.011873
8 0.045156 0.014024
9 0.049981 0.014689
10 0.052371 0.012465
11 0.051993 0.012645
12 0.044926 0.011534
13 0.043956 0.007599
14 0.048676 0.010806
15 0.047923 0.009271
16 0.056681 0.011378
17 0.059747 0.008451
18 0.055539 0.013710
19 0.058869 0.012465
20 0.057586 0.010427
21 0.052407 0.012248
22 0.048618 0.004268
23 0.045314 0.006191
24 0.044594 0.004862
25 0.044859 0.008928
26 0.045073 0.007846
27 0.035770 0.006696
28 0.001407 0.008460
